task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
90	45/49b2fc	42667	MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:37:23.334	700ms	104ms	100.0%	12 MB	26.4 MB	8.7 MB	751 B
87	8c/3e6ea7	42917	BAM_CLEAN:BAM_FILTER (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:37:24.036	1.9s	1.3s	136.0%	17.6 MB	35.4 MB	13.7 MB	9.8 MB
91	d8/f591cf	43280	BAM_CLEAN:BAM_FILTER (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:37:25.980	1.8s	1.2s	133.3%	17.7 MB	35.4 MB	13 MB	8.5 MB
92	2a/6bf732	43647	MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:37:27.843	687ms	23ms	57.1%	2.9 MB	3.9 MB	195.9 KB	659 B
93	1a/516e33	43899	MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:37:28.532	756ms	106ms	91.7%	11.9 MB	26.4 MB	8.6 MB	753 B
94	02/384160	44145	MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:37:29.291	1s	364ms	101.4%	12.5 MB	27.9 MB	8.6 MB	64 KB
95	c1/54e971	44397	MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:37:30.320	688ms	113ms	104.3%	12 MB	26.4 MB	9.1 MB	751 B
97	4d/4cb242	44643	MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:37:31.012	960ms	358ms	97.3%	12.4 MB	27.9 MB	9.1 MB	58.8 KB
96	c6/5e1749	44894	BAM_CLEAN:BAM_FILTER (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:37:31.980	2.2s	1.6s	134.6%	17.8 MB	35.4 MB	15 MB	11.8 MB
98	b7/07dd79	45253	MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:37:34.230	773ms	22ms	85.7%	2.7 MB	3.9 MB	196.1 KB	657 B
99	19/e52553	45581	MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:37:35.013	628ms	21ms	66.7%	2.8 MB	3.9 MB	195.8 KB	660 B
100	b9/3abf95	45833	MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:37:35.643	987ms	357ms	101.4%	12.7 MB	27.9 MB	9.1 MB	58 KB
101	c8/10327b	46087	BAM_CLEAN:BAM_FILTER (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:37:36.633	2.3s	1.6s	134.4%	17.5 MB	35.4 MB	15.1 MB	11.9 MB
102	ca/0317b6	46454	MARK_DUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:37:38.894	811ms	108ms	95.7%	11.8 MB	26.4 MB	9.1 MB	750 B
103	e5/cc906d	46700	BAM_CLEAN:BAM_REMOVE_ORPHANS (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:37:39.711	3.5s	2.9s	118.7%	36.7 MB	1.7 GB	29.2 MB	19.2 MB
104	1a/3de047	47064	BAM_CLEAN:BAM_REMOVE_ORPHANS (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:37:43.241	3.6s	2.7s	124.7%	20.6 MB	1.7 GB	28.3 MB	18.7 MB
105	a6/ba9409	47432	BAM_CLEAN:BAM_REMOVE_ORPHANS (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:37:46.815	2.3s	1.5s	111.7%	24.6 MB	1.7 GB	16.9 MB	11.1 MB
